points_from,points_to,juror_a_ranking,juror_b_ranking,juror_c_ranking,juror_d_ranking,juror_e_ranking,jury_rank,televoting_rank
Albania, Azerbaijan,14,6,23,5,8,2 points 9th,14th
Albania, Belgium,23,22,19,25,21,25th,25th
Albania, Bulgaria,22,25,8,21,24,17th,5 points 6th
Albania, Cyprus,3,5,4,8,6,7 points 4th,2 points 9th
Albania, Finland,6,9,7,12,10,3 points 8th,3 points 8th
Albania, France,2,1,3,2,2,10 points 2nd,6 points 5th
Albania, Germany,18,15,12,10,22,13th,15th
Albania, Greece,4,10,5,4,9,6 points 5th,8 points 3rd
Albania, Iceland,8,13,10,11,11,11th,21st
Albania, Israel,13,7,9,16,12,12th,22nd
Albania, Italy,16,4,21,7,3,4 points 7th,10 points 2nd
Albania, Lithuania,9,18,15,22,20,16th,13th
Albania, Malta,7,3,2,3,4,8 points 3rd,12th
Albania, Moldova,25,24,11,20,23,20th,7 points 4th
Albania, Norway,19,20,13,23,25,23rd,19th
Albania, Portugal,21,12,20,15,17,18th,23rd
Albania, Russia,15,14,18,13,13,14th,17th
Albania, San Marino,5,8,6,9,5,5 points 6th,11th
Albania, Serbia,11,11,17,6,7,1 point 10th,16th
Albania, Spain,12,21,16,18,19,19th,18th
Albania, Sweden,10,19,14,19,16,15th,1 point 10th
Albania, Switzerland,1,2,1,1,1,12 points 1st,12 points 1st
Albania, The Netherlands,17,23,24,14,18,22nd,24th
Albania, Ukraine,20,16,25,17,15,21st,4 points 7th
Albania, United Kingdom,24,17,22,24,14,24th,20th
Australia, Albania,25,23,22,24,24,26th,24th
Australia, Azerbaijan,20,13,19,17,21,21st,17th
Australia, Belgium,23,22,21,26,25,25th,23rd
Australia, Bulgaria,6,11,9,7,17,2 points 9th,16th
Australia, Cyprus,5,5,7,9,13,4 points 7th,14th
Australia, Finland,16,25,23,8,15,18th,3 points 8th
Australia, France,15,3,2,1,5,7 points 4th,4 points 7th
Australia, Germany,26,26,26,10,26,22nd,19th
Australia, Greece,13,9,17,18,11,13th,11th
Australia, Iceland,2,7,1,6,3,8 points 3rd,12 points 1st
Australia, Israel,12,14,14,25,9,14th,15th
Australia, Italy,7,24,4,3,4,6 points 5th,7 points 4th
Australia, Lithuania,17,12,10,20,8,11th,6 points 5th
Australia, Malta,1,2,3,4,1,12 points 1st,8 points 3rd
Australia, Moldova,22,20,25,15,22,24th,25th
Australia, Norway,18,17,18,16,20,23rd,1 point 10th
Australia, Portugal,10,15,15,23,10,15th,18th
Australia, Russia,9,10,13,14,16,1 point 10th,12th
Australia, San Marino,19,19,12,11,14,17th,13th
Australia, Serbia,24,6,20,12,23,12th,2 points 9th
Australia, Spain,21,8,16,21,19,19th,26th
Australia, Sweden,14,18,11,19,12,16th,20th
Australia, Switzerland,4,1,8,2,2,10 points 2nd,5 points 6th
Australia, The Netherlands,3,16,6,13,7,3 points 8th,22nd
Australia, Ukraine,11,4,5,5,6,5 points 6th,10 points 2nd
Australia, United Kingdom,8,21,24,22,18,20th,21st
Austria, Albania,22,24,25,19,18,26th,13th
Austria, Azerbaijan,19,19,24,20,22,25th,17th
Austria, Belgium,20,17,16,10,14,17th,21st
Austria, Bulgaria,2,3,9,7,9,5 points 6th,11th
Austria, Cyprus,15,25,13,9,21,16th,20th
Austria, Finland,9,10,7,15,8,1 point 10th,4 points 7th
Austria, France,7,1,5,6,2,8 points 3rd,6 points 5th
Austria, Germany,5,9,18,26,7,2 points 9th,15th
Austria, Greece,12,21,12,13,25,18th,19th
Austria, Iceland,1,5,1,8,3,12 points 1st,10 points 2nd
Austria, Israel,16,12,14,17,20,19th,18th
Austria, Italy,11,7,3,2,1,6 points 5th,8 points 3rd
Austria, Lithuania,21,13,11,14,15,15th,3 points 8th
Austria, Malta,3,6,8,22,11,4 points 7th,2 points 9th
Austria, Moldova,23,22,22,11,26,21st,24th
Austria, Norway,26,18,6,16,24,13th,1 point 10th
Austria, Portugal,6,4,4,1,5,7 points 4th,14th
Austria, Russia,17,20,23,3,12,11th,12th
Austria, San Marino,13,26,17,24,23,22nd,22nd
Austria, Serbia,18,11,19,18,10,14th,12 points 1st
Austria, Spain,8,23,15,12,13,12th,25th
Austria, Sweden,24,16,20,23,17,24th,16th
Austria, Switzerland,4,2,2,4,4,10 points 2nd,5 points 6th
Austria, The Netherlands,10,8,10,5,6,3 points 8th,23rd
