points_from,points_to,juror_a_ranking,juror_b_ranking,juror_c_ranking,juror_d_ranking,juror_e_ranking,jury_rank,televote_rank,jury_points,televote_points
Albania, Azerbaijan,14,6,23,5,8,9,14,2,0
Albania, Belgium,23,22,19,25,21,25,25,0,0
Albania, Bulgaria,22,25,8,21,24,17,6,0,5
Albania, Cyprus,3,5,4,8,6,4,9,7,2
Albania, Finland,6,9,7,12,10,8,8,3,3
Albania, France,2,1,3,2,2,2,5,10,6
Albania, Germany,18,15,12,10,22,13,15,0,0
Albania, Greece,4,10,5,4,9,5,3,6,8
Albania, Iceland,8,13,10,11,11,11,21,0,0
Albania, Israel,13,7,9,16,12,12,22,0,0
Albania, Italy,16,4,21,7,3,7,2,4,10
Albania, Lithuania,9,18,15,22,20,16,13,0,0
Albania, Malta,7,3,2,3,4,3,12,8,0
Albania, Moldova,25,24,11,20,23,20,4,0,7
Albania, Norway,19,20,13,23,25,23,19,0,0
Albania, Portugal,21,12,20,15,17,18,23,0,0
Albania, Russia,15,14,18,13,13,14,17,0,0
Albania, San Marino,5,8,6,9,5,6,11,5,0
Albania, Serbia,11,11,17,6,7,10,16,1,0
Albania, Spain,12,21,16,18,19,19,18,0,0
Albania, Sweden,10,19,14,19,16,15,10,0,1
Albania, Switzerland,1,2,1,1,1,1,1,12,12
Albania, The Netherlands,17,23,24,14,18,22,24,0,0
Albania, Ukraine,20,16,25,17,15,21,7,0,4
Albania, United Kingdom,24,17,22,24,14,24,20,0,0
Australia, Albania,25,23,22,24,24,26,24,0,0
Australia, Azerbaijan,20,13,19,17,21,21,17,0,0
Australia, Belgium,23,22,21,26,25,25,23,0,0
Australia, Bulgaria,6,11,9,7,17,9,16,2,0
Australia, Cyprus,5,5,7,9,13,7,14,4,0
Australia, Finland,16,25,23,8,15,18,8,0,3
Australia, France,15,3,2,1,5,4,7,7,4
Australia, Germany,26,26,26,10,26,22,19,0,0
Australia, Greece,13,9,17,18,11,13,11,0,0
Australia, Iceland,2,7,1,6,3,3,1,8,12
Australia, Israel,12,14,14,25,9,14,15,0,0
Australia, Italy,7,24,4,3,4,5,4,6,7
Australia, Lithuania,17,12,10,20,8,11,5,0,6
Australia, Malta,1,2,3,4,1,1,3,12,8
Australia, Moldova,22,20,25,15,22,24,25,0,0
Australia, Norway,18,17,18,16,20,23,10,0,1
Australia, Portugal,10,15,15,23,10,15,18,0,0
Australia, Russia,9,10,13,14,16,10,12,1,0
Australia, San Marino,19,19,12,11,14,17,13,0,0
Australia, Serbia,24,6,20,12,23,12,9,0,2
Australia, Spain,21,8,16,21,19,19,26,0,0
Australia, Sweden,14,18,11,19,12,16,20,0,0
Australia, Switzerland,4,1,8,2,2,2,6,10,5
Australia, The Netherlands,3,16,6,13,7,8,22,3,0
Australia, Ukraine,11,4,5,5,6,6,2,5,10
Australia, United Kingdom,8,21,24,22,18,20,21,0,0
Austria, Albania,22,24,25,19,18,26,13,0,0
Austria, Azerbaijan,19,19,24,20,22,25,17,0,0
Austria, Belgium,20,17,16,10,14,17,21,0,0
Austria, Bulgaria,2,3,9,7,9,6,11,5,0
Austria, Cyprus,15,25,13,9,21,16,20,0,0
Austria, Finland,9,10,7,15,8,10,7,1,4
Austria, France,7,1,5,6,2,3,5,8,6
Austria, Germany,5,9,18,26,7,9,15,2,0
Austria, Greece,12,21,12,13,25,18,19,0,0
Austria, Iceland,1,5,1,8,3,1,2,12,10
Austria, Israel,16,12,14,17,20,19,18,0,0
Austria, Italy,11,7,3,2,1,5,3,6,8
Austria, Lithuania,21,13,11,14,15,15,8,0,3
Austria, Malta,3,6,8,22,11,7,9,4,2
Austria, Moldova,23,22,22,11,26,21,24,0,0
Austria, Norway,26,18,6,16,24,13,10,0,1
Austria, Portugal,6,4,4,1,5,4,14,7,0
Austria, Russia,17,20,23,3,12,11,12,0,0
Austria, San Marino,13,26,17,24,23,22,22,0,0
Austria, Serbia,18,11,19,18,10,14,1,0,12
Austria, Spain,8,23,15,12,13,12,25,0,0
Austria, Sweden,24,16,20,23,17,24,16,0,0
Austria, Switzerland,4,2,2,4,4,2,6,10,5
Austria, The Netherlands,10,8,10,5,6,8,23,3,0
Austria, Ukraine,25,14,21,25,16,23,4,0,7
Austria, United Kingdom,14,15,26,21,19,20,26,0,0
Azerbaijan, Albania,20,10,19,25,18,20,21,0,0
Azerbaijan, Belgium,16,15,7,19,2,8,17,3,0
Azerbaijan, Bulgaria,7,12,13,6,10,10,20,1,0
Azerbaijan, Cyprus,10,16,23,21,19,19,15,0,0
Azerbaijan, Finland,13,14,5,9,11,13,6,0,5
