artist,country,track.name,time_signature,tempo,key_mode,key_name,mode_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,track.popularity
Måneskin,Italy,ZITTI E BUONI,4,103.024,E minor,E,minor,0.62,0.944,4,-3.082,0,0.0863,0.0014,0,0.733,0.592,79
Destiny,Malta,Je me casse - Eurovision Official Entry,4,111.973,G# minor,G#,minor,0.767,0.871,8,-4.494,0,0.1,0.153,1.27e-6,0.277,0.79,45
Elena Tsagrinou,Cyprus,El Diablo,4,113.994,A minor,A,minor,0.66,0.664,9,-7.78,0,0.134,0.00395,0,0.832,0.621,73
Barbara Pravi,France,Voilà,4,135.379,D minor,D,minor,0.447,0.337,2,-8.665,0,0.0631,0.773,0,0.298,0.603,74
THE ROOP,Lithuania,Discoteque,4,115.004,F major,F,major,0.826,0.799,5,-6.12,1,0.0594,0.0477,0.00206,0.125,0.628,71
Tusse,Sweden,Voices,4,90.015,A# minor,A#,minor,0.503,0.759,10,-5.222,0,0.0423,0.00237,1.06e-6,0.13,0.396,75
Daði Freyr,Iceland,10 Years,4,123.038,D minor,D,minor,0.798,0.621,2,-6.916,0,0.0391,0.0141,1.48e-4,0.0926,0.443,73
Senhit ft. Flo Rida,San Marino,Adrenalina,4,104.084,A# minor,A#,minor,0.665,0.886,10,-5.773,0,0.082,0.00319,1.22e-6,0.387,0.529,68
Eden Alene,Israel,Set Me Free,4,107.02,C# minor,C#,minor,0.752,0.664,1,-7.392,0,0.0775,0.28,0,0.102,0.468,69
Gjon's Tears,Switzerland,Tout l'univers,4,123.466,A minor,A,minor,0.534,0.365,9,-9.187,0,0.033,0.81,2.52e-6,0.158,0.237,73
Stefania,Greece,Last Dance,4,146.869,D minor,D,minor,0.533,0.91,2,-4.526,0,0.0435,0.0213,0,0.0699,0.393,68
James Newman,United Kingdom,Embers,4,125.968,F# major,F#,major,0.678,0.819,6,-4.646,1,0.0577,0.00283,2.67e-6,0.112,0.722,68
Efendi,Azerbaijan,Mata Hari,4,99.942,E minor,E,minor,0.706,0.675,4,-5.756,0,0.0386,0.0128,3.55e-4,0.263,0.463,71
Go_A,Lithuania,SHUM,4,116.431,E major,E,major,0.527,0.737,4,-5.34,1,0.0642,0.05,7.85e-5,0.105,0.499,73
Manizha,Russia,RUSSIAN WOMAN,4,102.001,E minor,E,minor,0.89,0.701,4,-7.061,0,0.194,0.204,0,0.0741,0.652,70
Natalia Gordienko,Moldova,Sugar,4,119.987,B minor,B,minor,0.694,0.76,11,-7.216,0,0.0464,0.00495,0.00566,0.134,0.511,65
